Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,cleaned_Timestamp,cleaned_Gender,cleaned_Country,cleaned_state,cleaned_self_employed,cleaned_family_history,cleaned_treatment,cleaned_work_interfere,cleaned_no_employees,cleaned_remote_work,cleaned_tech_company,cleaned_benefits,cleaned_care_options,cleaned_wellness_program,cleaned_seek_help,cleaned_anonymity,cleaned_leave,cleaned_mental_health_consequence,cleaned_phys_health_consequence,cleaned_coworkers,cleaned_supervisor,cleaned_mental_health_interview,cleaned_phys_health_interview,cleaned_mental_vs_physical,cleaned_obs_consequence,cleaned_comments
2014-08-27 11:29:31,37,Female,United States,IL,,No,Yes,Often,6-25,No,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,,20140827 112931,female,united states,il,,,yes,often,625,,yes,yes,sure,,yes,yes,somewhat easy,,,,yes,,maybe,yes,,
2014-08-27 11:29:37,44,M,United States,IN,,No,No,Rarely,More than 1000,No,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,,20140827 112937,,united states,,,,,rarely,1000,,,dont know,,dont know,dont know,dont know,dont know,maybe,,,,,,dont know,,
2014-08-27 11:29:44,32,Male,Canada,,,No,No,Rarely,6-25,No,Yes,No,No,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No,,20140827 112944,male,canada,,,,,rarely,625,,yes,,,,,dont know,somewhat difficult,,,yes,yes,yes,yes,,,
2014-08-27 11:29:46,31,Male,United Kingdom,,,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes,,20140827 112946,male,united kingdom,,,yes,yes,often,26100,,yes,,yes,,,,somewhat difficult,yes,yes,,,maybe,maybe,,yes,
2014-08-27 11:30:22,31,Male,United States,TX,,No,No,Never,100-500,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know,No,,20140827 113022,male,united states,tx,,,,never,100500,yes,yes,yes,,dont know,dont know,dont know,dont know,,,,yes,yes,yes,dont know,,
2014-08-27 11:31:22,33,Male,United States,TN,,Yes,No,Sometimes,6-25,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No,,20140827 113122,male,united states,tn,,yes,,sometimes,625,,yes,yes,sure,,dont know,dont know,dont know,,,yes,yes,,maybe,dont know,,
2014-08-27 11:31:50,35,Female,United States,MI,,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,No,,20140827 113150,female,united states,mi,,yes,yes,sometimes,15,yes,yes,,,,,,somewhat difficult,maybe,maybe,,,,,dont know,,
2014-08-27 11:32:05,39,M,Canada,,,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,Yes,Don't know,No,No,No,No,No,No,No,No,,20140827 113205,,canada,,,,,never,15,yes,yes,,yes,,,yes,dont know,,,,,,,,,
2014-08-27 11:32:39,42,Female,United States,IL,,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,,20140827 113239,female,united states,il,,yes,yes,sometimes,100500,,yes,yes,yes,,,,difficult,maybe,,yes,yes,,maybe,,,
2014-08-27 11:32:43,23,Male,Canada,,,No,No,Never,26-100,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,,20140827 113243,male,canada,,,,,never,26100,,yes,dont know,,dont know,dont know,dont know,dont know,,,yes,yes,maybe,maybe,yes,,
